what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352426886577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352426930952
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352426941394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352426959983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352427021044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352427023467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352427030140
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352427044925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352427051232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352427052077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352427063127
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1352427070969
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352427074167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352427074268
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352427083458
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352427083458
